anc.pop	admx.pop	sex	proportion	norm.proportion	bootstrap
African	ACB	m	0.381	0.383299798792757	13
Native_American	ASW	f	0.005	0.00499001996007984	13
European	ASW	f	0.025	0.0249500998003992	13
African	ASW	f	0.471	0.470059880239521	13
Native_American	ASW	m	0.052	0.0521042084168337	13
European	ASW	m	0.187	0.187374749498998	13
African	ASW	m	0.26	0.260521042084168	13
Native_American	CLM	f	0.256	0.263374485596708	13
European	CLM	f	0.162	0.166666666666667	13
African	CLM	f	0.068	0.0699588477366255	13
Native_American	CLM	m	0	0	13
European	CLM	m	0.5	0.486381322957198	13
African	CLM	m	0.014	0.0136186770428016	13
Native_American	MXL	f	0.344	0.336594911937378	13
European	MXL	f	0.167	0.163405088062622	13
African	MXL	f	0	0	13
Native_American	MXL	m	0.161	0.164621676891616	13
European	MXL	m	0.284	0.29038854805726	13
African	MXL	m	0.044	0.0449897750511247	13
Native_American	PEL	f	0.5	0.497017892644135	13
European	PEL	f	0	0	13
African	PEL	f	0.003	0.00298210735586481	13
Native_American	PEL	m	0.253	0.254527162977867	13
European	PEL	m	0.214	0.215291750503018	13
African	PEL	m	0.03	0.0301810865191147	13
Native_American	PUR	f	0.128	0.128	13
European	PUR	f	0.23	0.23	13
African	PUR	f	0.142	0.142	13
Native_American	PUR	m	0	0	13
European	PUR	m	0.5	0.5	13
African	PUR	m	0	0	13
Native_American	ACB	f	0.003	0.0030060120240481	14
European	ACB	f	0	0	14
African	ACB	f	0.496	0.496993987975952	14
Native_American	ACB	m	0	0	14
European	ACB	m	0.122	0.121756487025948	14
African	ACB	m	0.379	0.378243512974052	14
Native_American	ASW	f	0.027	0.027	14
European	ASW	f	0.067	0.067	14
African	ASW	f	0.406	0.406	14
Native_American	ASW	m	0.018	0.018	14
European	ASW	m	0.121	0.121	14
African	ASW	m	0.361	0.361	14
Native_American	CLM	f	0.252	0.261410788381743	14
European	CLM	f	0.158	0.163900414937759	14
African	CLM	f	0.072	0.0746887966804979	14
Native_American	CLM	m	0	0	14
European	CLM	m	0.5	0.482625482625483	14
African	CLM	m	0.018	0.0173745173745174	14
Native_American	MXL	f	0.425	0.460954446854664	14
European	MXL	f	0.029	0.0314533622559653	14
African	MXL	f	0.007	0.00759219088937093	14
Native_American	MXL	m	0	0	14
European	MXL	m	0.5	0.462962962962963	14
African	MXL	m	0.04	0.037037037037037	14
Native_American	PEL	f	0.481	0.481963927855711	14
European	PEL	f	0	0	14
African	PEL	f	0.018	0.0180360721442886	14
Native_American	PEL	m	0.316	0.315369261477046	14
European	PEL	m	0.185	0.184630738522954	14
African	PEL	m	0	0	14
Native_American	PUR	f	0.128	0.128256513026052	14
European	PUR	f	0.241	0.241482965931864	14
African	PUR	f	0.13	0.130260521042084	14
Native_American	PUR	m	0	0	14
European	PUR	m	0.5	0.5	14
African	PUR	m	0	0	14
Native_American	ACB	f	0.004	0.00396825396825397	15
European	ACB	f	0	0	15
African	ACB	f	0.5	0.496031746031746	15
Native_American	ACB	m	0.001	0.00100806451612903	15
European	ACB	m	0.127	0.128024193548387	15
African	ACB	m	0.368	0.370967741935484	15
Native_American	ASW	f	0.046	0.0459081836327345	15
European	ASW	f	0.031	0.030938123752495	15
African	ASW	f	0.424	0.42315369261477	15
