IID	sex	pop
NA19729	male	MXL
NA19258	male	YRI
NA19221	female	YRI
NA19661	male	MXL
NA19226	male	YRI
NA19102	female	YRI
NA19238	female	YRI
NA19107	male	YRI
NA19240	female	YRI
NA19114	female	YRI
NA19252	male	YRI
NA19257	female	YRI
NA19094	female	YRI
NA19779	female	MXL
NA19099	female	YRI
NA19781	female	MXL
NA19119	male	YRI
NA19786	male	MXL
NA19202	female	YRI
NA19121	male	YRI
NA19919	male	ASW
NA19207	male	YRI
NA19138	male	YRI
NA19921	female	ASW
NA19214	female	YRI
NA19152	female	YRI
NA19983	female	ASW
NA19171	male	YRI
NA19798	male	MXL
NA19176	female	YRI
NA19818	male	ASW
NA19190	female	YRI
NA19762	male	MXL
NA19195	male	YRI
NA19774	male	MXL
NA19140	female	YRI
NA19750	male	MXL
NA19145	male	YRI
NA19755	female	MXL
NA19664	male	MXL
NA19731	female	MXL
NA19669	female	MXL
NA19748	female	MXL
NA19671	female	MXL
NA19902	female	ASW
NA19151	female	YRI
NA19676	male	MXL
NA19914	female	ASW
NA19175	male	YRI
NA20276	female	ASW
NA20288	male	ASW
NA20290	female	ASW
NA19199	female	YRI
NA20295	male	ASW
NA20339	female	ASW
NA20341	female	ASW
NA19625	female	ASW
NA20346	male	ASW
NA19663	female	MXL
NA20322	female	ASW
NA19670	male	MXL
NA20334	female	ASW
NA19675	female	MXL
NA19719	female	MXL
NA19652	male	MXL
NA19721	female	MXL
NA19657	female	MXL
NA19726	male	MXL
NA19649	male	MXL
NA19651	female	MXL
NA19656	female	MXL
NA19733	female	MXL
NA19738	male	MXL
NA19740	female	MXL
NA19796	male	MXL
NA19702	male	ASW
NA19828	male	ASW
NA19707	female	ASW
NA19835	female	ASW
NA19714	female	ASW
NA19900	male	ASW
NA19682	male	MXL
NA19753	male	MXL
NA20358	male	ASW
NA19758	female	MXL
NA20360	male	ASW
NA19760	female	MXL
NA19923	female	ASW
NA19734	female	MXL
NA19985	female	ASW
NA19741	male	MXL
NA20127	female	ASW
NA19746	female	MXL
NA19764	female	MXL
NA19722	female	MXL
NA19771	male	MXL
NA19727	male	MXL
NA19776	female	MXL
NA19784	male	MXL
NA19904	male	ASW
NA19789	male	MXL
NA19909	female	ASW
NA19772	male	MXL
NA19916	male	ASW
NA19777	male	MXL
NA19783	male	MXL
NA19703	male	ASW
NA19788	female	MXL
NA19708	female	ASW
NA19790	female	MXL
NA19905	female	ASW
NA19795	male	MXL
NA19917	female	ASW
NA19834	male	ASW
NA19683	female	MXL
NA20317	female	ASW
NA20318	male	ASW
NA20336	female	ASW
NA20320	female	ASW
NA19752	female	MXL
NA20332	female	ASW
NA19757	male	MXL
NA20337	female	ASW
NA20278	male	ASW
NA20344	female	ASW
NA20285	male	ASW
NA20349	male	ASW
NA20292	female	ASW
NA20351	male	ASW
NA20297	male	ASW
NA20356	male	ASW
NA20300	female	ASW
NA20363	female	ASW
NA20312	female	ASW
NA20414	female	ASW
NA20298	male	ASW
NA20301	female	ASW
NA20313	female	ASW
NA20343	male	ASW
NA20274	female	ASW
NA20348	male	ASW
NA20279	male	ASW
NA20350	male	ASW
NA20281	male	ASW
NA20355	female	ASW
NA20362	male	ASW
NA20413	male	ASW
NA19924	female	ASW
NA20128	female	ASW
HG00555	female	PUR
HG00733	female	PUR
HG00637	male	PUR
HG00738	male	PUR
HG00740	female	PUR
HG01053	female	PUR
HG01058	female	PUR
HG01060	male	PUR
HG01077	female	PUR
HG01084	female	PUR
HG01089	female	PUR
HG01123	female	CLM
HG01130	male	CLM
HG01135	male	CLM
HG01096	male	PUR
HG01104	male	PUR
HG01173	male	PUR
HG01178	male	PUR
HG01109	male	PUR
HG01111	female	PUR
HG01072	male	PUR
HG01142	male	CLM
HG01161	male	PUR
HG01205	female	PUR
HG01243	male	PUR
HG01248	female	PUR
HG01250	male	CLM
HG01279	female	CLM
HG01281	female	CLM
HG01286	male	PUR
HG01301	female	PUR
HG01344	male	CLM
HG01349	female	CLM
HG01351	female	CLM
HG01192	male	PUR
HG01197	male	PUR
HG01200	male	PUR
HG01356	male	CLM
HG01363	female	CLM
HG01255	male	CLM
HG01274	male	CLM
HG01394	female	PUR
HG01402	male	PUR
HG01375	female	CLM
HG01325	male	PUR
HG01577	male	PEL
HG01438	female	CLM
